text	tags
Buddhist	B-company
and	I-company
Pali	I-company
University	I-company
of	O
Sri	O
Lanka	O
 	O
Invitation	O
for	O
Applications	O
/	O
Nominations	O
 	O
POST	O
OF	O
VENERABLE	O

The	O
Head	O
Office	O
of	O
the	O
university	O
is	O
located	O
at	O
No	B-post_number
37	I-post_number
,	O
Moragahahena	O
Road	O
,	O
Pitipana	O
,	O
 	O
Homagama	B-location
.	O

The	O
applicant	O
should	O
not	O
be	O
over	O
62	B-no_years
years	I-no_years
of	O
age	O
as	O
at	O
31.10.2020	O
.	O

The	O
Venerable	O
Vice	O
-	O
Chancellor	O
will	O
be	O
responsible	O
for	O
providing	O
academic	O
 	O
leadership	B-res_skill
,	O
formulating	O
and	O
introducing	O
management	O
policies	B-res_skill
and	O
implementing	B-res_skill
 	O
the	O
decisions	O
of	O
the	O
Council	O
.	O

He	O
will	O
be	O
responsible	O
for	O
the	O
general	B-res_skill
administration	I-res_skill
 	O
of	O
the	O
university	O
and	O
in	O
doing	O
so	O
,	O
uphold	O
the	O
principles	O
of	O
academic	O
excellence	O
,	O
 	O
transparency	O
,	O
accountability	O
,	O
democratic	O
,	O
management	O
and	O
effective	O
non	O
partisan	O
 	O
leadership	O
.	O

The	O
successful	O
candidate	O
should	O
possess	O
a	O
record	O
of	O
high	O
academic	O
achievement	O
 	O
including	O
a	O
strong	O
research	O
profile	O
,	O
proven	O
leadership	O
qualities	O
and	O
interpersonal	B-res_skill
skill	I-res_skill
to	O
interact	O
objectively	O
with	O
diverse	O
interest	O
groups	O
,	O
a	O
clear	O
understanding	O
of	O
 	O
policy	O
issues	O
and	O
a	O
commitment	O
to	O
the	O
effective	O
implementation	O
of	O
decisions	O
.	O

Applications	O
/	O
nominations	O
should	O
be	O
addressed	O
to	O
the	O
"	O
Secretary	O
of	O
the	O
Council	O
,	O
 	O
Registrar	O
's	O
Office	O
,	O
Buddhist	O
and	O
Pali	O
University	O
of	O
Sri	O
Lanka	O
,	O
No	B-post_number
37	I-post_number
,	O
Moragahahena	O
 	O
Road	O
,	O
Pitipana	O
Town	O
,	O
Homagama	B-location
"	O
and	O
sent	O
under	O
registered	O
cover	O
or	O
hand	O
delivered	O
 	O
to	O
reach	O
him	O
on	O
or	O
before	O
4.15	O
p.m.	O
on	O
10th	O
July	O
2020	O
.	O

WHOLESALE	O
/	O
PROJECT	O
SALES	O
MANAGER	B-title
 	O
Requirements	O
and	O
Qualifications	O
 	O
VAge	O
between	O
38	O
-	O
45	B-no_years
years	I-no_years
.	O

VA	O
Degree	B-edu_level
in	O
Marketing	B-specialization
or	O
full	O
qualification	O
in	O
CIM	B-qualification
/	O
SLIM	B-qualification
.	O

V	O
Minimum	O
5	B-no_years
years	I-no_years
'	O
experience	O
in	O
similar	O
capacity	O
.	O

(	O
Please	O
indicate	O
the	O
job	O
applied	O
for	O
on	O
the	O
top	O
lefthand	O
corner	O
of	O
the	O
envelop	O
or	O
email	O
subject	O
)	O
 	O

AMERICAN	B-company
EMBASSY	I-company
,	O
COLOMBO	B-location
 	O

She	O
/	O

She	O
/	O

She	O
/	O

She	O
/	O

Education	O
